Aalborg,Europe/Paris
"Abbotsford, BC",America/Los_Angeles
Aberdeen,Europe/London
Abidjan,Atlantic/Reykjavik
Abu Dhabi,Asia/Dubai
Abuja,Africa/Lagos
Accra,Atlantic/Reykjavik
Addis Ababa,Africa/Nairobi
Adelaide,Australia/Adelaide
Aden,Asia/Riyadh
Agra,Asia/Calcutta
Ahmedabad,Asia/Calcutta
Akita,Asia/Tokyo
"Aklavik, NT",America/Denver
"Akron, OH",America/New_York
Al Ahsa,Asia/Riyadh
Al Ain,Asia/Dubai
Al Bayda',Asia/Riyadh
Al Hudaydah,Asia/Riyadh
Al Jahra,Asia/Riyadh
Alacati,Europe/Istanbul
Alajuela,America/Guatemala
"Albany, NY",America/New_York
Albena,Europe/Kiev
"Albuquerque, NM",America/Denver
Albury,Australia/Sydney
"Alert, NU",America/New_York
Alexandria,Africa/Cairo
Algiers,Africa/Lagos
Alicante,Europe/Paris
Alice Springs,Australia/Darwin
Almaty,Asia/Almaty
Almeria,Europe/Paris
Ambato,America/Bogota
Ambon,Asia/Tokyo
Amersfoort,Europe/Berlin
"Amherst, NS",America/Halifax
Amiens,Europe/Paris
Amman,Asia/Amman
Amritsar,Asia/Calcutta
Amsterdam,Europe/Berlin
Anadyr,Asia/Magadan
Anapa,Europe/Moscow
"Anchorage, AK",America/Anchorage
Ancona,Europe/Berlin
Andorra la Vella,Europe/Paris
Ankara,Europe/Istanbul
"Annapolis, MD",America/New_York
Anshan,Asia/Shanghai
Antananarivo,Africa/Nairobi
Antwerp,Europe/Paris
Apia,Pacific/Apia
Aqaba,Asia/Amman
Arad,Europe/Kiev
Arequipa,America/Bogota
Arkhangelsk,Europe/Moscow
Arklow,Europe/London
"Armstrong, BC",America/Los_Angeles
Arraial do Cabo,America/Sao_Paulo
Arzamas,Europe/Moscow
Ashkelon,Asia/Jerusalem
Ashkhabad,Asia/Tashkent
"Ashland, OR",America/Los_Angeles
Asmara,Asia/Riyadh
Astana,Asia/Almaty
Asuncion,America/Asuncion
Athens,Europe/Kiev
"Atlanta, GA",America/New_York
